titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media,trends_MX,trends_US,trends_CA,trends_CO,trends_BR,trends_latam_avg,popular_algún_país,cluster_trends
陰の実力者になりたくて！ 2nd season,Kage no Jitsuryokusha ni Naritakute! 2nd season,The Eminence in Shadow Season 2,2023-10-04,2023,FALL 2023,1,12.0,Nexus,Action | Comedy | Fantasy,Seinen,TV,FINISHED,178948,82.0,82.0,1.0,12.0,5.0,0.0,5.0,4.6,True,1
WIND BREAKER,WIND BREAKER,WIND BREAKER,2024-04-05,2024,SPRING 2024,2,13.0,CloverWorks,Action | Comedy | Drama,Shounen,TV,FINISHED,176139,77.0,77.0,28.0,42.0,30.0,23.0,23.0,29.2,True,2
Re:ゼロから始める異世界生活 3rd season,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Re:ZERO -Starting Life in Another World- Season 3,2024-10-02,2024,FALL 2024,2,16.0,WHITE FOX,Action | Adventure | Drama | Fantasy | Psychological | Romance | Thriller,Seinen,TV,FINISHED,173017,84.0,84.0,0.0,1.0,0.0,0.0,0.0,0.2,False,1
ようこそ実力至上主義の教室へ 3rd Season,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite Season 3,2024-01-03,2024,WINTER 2024,2,13.0,Lerche,Drama | Psychological,Unknown,TV,FINISHED,172930,78.0,78.0,1.0,10.0,4.0,0.0,4.0,3.8,False,1
シャングリラ・フロンティア,Shangri-La Frontier,Shangri-La Frontier,2023-10-01,2023,FALL 2023,2,25.0,C2C,Action | Adventure | Comedy | Fantasy | Sci-Fi,Shounen,TV,FINISHED,169294,80.0,80.0,13.0,28.0,14.0,3.0,29.0,17.4,True,0
マッシュル-MASHLE- 神覚者候補選抜試験編,MASHLE: Kami Shinkakusha Kouho Senbatsu Shiken-hen,MASHLE: MAGIC AND MUSCLES Season 2,2024-01-06,2024,WINTER 2024,2,12.0,A-1 Pictures,Action | Comedy | Fantasy,Shounen,TV,FINISHED,168939,78.0,78.0,0.0,6.0,0.0,0.0,1.0,1.4,False,1
僕のヒーローアカデミア 7,Boku no Hero Academia 7,My Hero Academia Season 7,2024-05-04,2024,SPRING 2024,2,21.0,bones,Action | Adventure,Shounen,TV,FINISHED,168140,82.0,82.0,3.0,17.0,13.0,1.0,6.0,8.0,True,0
転生したらスライムだった件 第3期,Tensei Shitara Slime Datta Ken 3rd Season,That Time I Got Reincarnated as a Slime Season 3,2024-04-05,2024,SPRING 2024,2,24.0,8-bit,Action | Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,168089,78.0,78.0,0.0,19.0,4.0,0.0,2.0,5.0,True,1
この素晴らしい世界に祝福を！３,Kono Subarashii Sekai ni Shukufuku wo! 3,KONOSUBA -God's blessing on this wonderful world! 3,2024-04-10,2024,SPRING 2024,2,11.0,Drive,Action | Adventure | Comedy | Ecchi | Fantasy,Unknown,TV,FINISHED,167284,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
その着せ替え人形は恋をする Season 2,Sono Bisque Doll wa Koi wo Suru Season 2,My Dress-Up Darling Season 2,2025-07-06,2025,SUMMER 2025,1,12.0,CloverWorks,Comedy | Ecchi | Romance | Slice of Life,Seinen,TV,FINISHED,167228,82.0,82.0,2.0,15.0,2.0,1.0,1.0,4.2,True,1
【推しの子】第2期,[Oshi no Ko] 2nd Season,Oshi no Ko Season 2,2024-07-03,2024,SUMMER 2024,2,13.0,Doga Kobo,Drama | Mystery | Psychological | Supernatural,Seinen,TV,FINISHED,165948,85.0,85.0,0.0,10.0,7.0,0.0,5.0,4.4,False,1
